Nome,Telefone,Endereço,Avaliação,Avaliações,Site,Categoria,Campanha
Barbearia Thifany,"
(33) 99900-8445","
Av. Juscelino Kubitscheck, 418 - Cidade jardim, Manhumirim - MG, 36970-000",5.0,0,https://instagram.com/barbeariathifany?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,Barbearia,Barbearia - Manhumirim
Lord Barbearia e moda masculina,"
(33) 98423-9750","
R. Trajano Lima, 129, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
Léo Rodrigues Barbearia,"
(33) 98452-0412","
Avenida Teófilo tostes / número•294 - Centro, Manhumirim - MG, 36970-000",5.0,0,https://www.trinks.com/leo-rodrigues-barbearia,Barbearia,Barbearia - Manhumirim
Barbearia do Gigante,"
(33) 99945-6086","
Av. Agenor Carlos Werner, 265 - Loja 02 - Centro, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
barbearia real barber mg,,"
Av. Agenor Carlos Werner - centro, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
Barbearia Muzzy,"
(33) 98400-7943","
Av. Teófilo Tostes, 192 - Centro, Manhumirim - MG, 36970-000",5.0,0,https://linktr.ee/barbeariamuzzy,Barbearia,Barbearia - Manhumirim
Barbearia Bernardes,"
(33) 99830-9249","
Av. Teófilo Tostes, 316 - Centro, Manhumirim - MG, 36970-000",5.0,0,http://linktr.ee/barbeariabernardesoficial,Barbearia,Barbearia - Manhumirim
BS Barbearia Strelow,"
(33) 98459-8864","
Av: agenor Carlos Werner - Centro, Manhumirim - MG, 36970-000",5.0,0,https://agendamentos.bestbarbers.app/barbershop/barbeariastrelow,Barbearia,Barbearia - Manhumirim
ML DO CORTE,,"
Tv. Silvério Dutra, 171 - Vilanova, Manhuaçu - MG, 36900-000",4.9,0,,Barbearia,Barbearia - Manhuaçu
Barbearia Thálys,"
(33) 98867-7352","
R. Cel. Alves Costa, 157 - Simonésia, MG, 36930-000",4.9,0,,Barbearia,Barbearia - Manhuaçu
